"ID","Name","Sales Price","Product Category","Product Tags","Product Attributes / Attribute","Product Attributes / Values","Internal Notes"
"prod_silk_elegance_blouse","Silk Elegance Blouse","599000","tops","Spring,Summer","Size","S,M,L","Blus sutra premium dengan potongan elegan."
"prod_silk_elegance_blouse","Silk Elegance Blouse","599000","tops","Spring,Summer","Color","Cream,Maroon","Blus sutra premium dengan potongan elegan."
"prod_linen_shirt_relaxed","Linen Shirt Relaxed","449000","tops","Summer","Size","M,L,XL","Kemeja linen kasual, sangat nyaman dipakai."
"prod_linen_shirt_relaxed","Linen Shirt Relaxed","449000","tops","Summer","Color","White,Olive","Kemeja linen kasual, sangat nyaman dipakai."
"prod_classic_cotton_t_shirt","Classic Cotton T-Shirt","299000","tops","Summer,Spring","Size","S,M,L,XL","T-shirt premium bahan cotton combed."
"prod_classic_cotton_t_shirt","Classic Cotton T-Shirt","299000","tops","Summer,Spring","Color","White,Navy,Red","T-shirt premium bahan cotton combed."
"prod_kaftan_elegance","Kaftan Elegance","799000","tops","Spring","Size","One Size","Kaftan elegan untuk momen spesial."
"prod_kaftan_elegance","Kaftan Elegance","799000","tops","Spring","Color","Navy,Grey","Kaftan elegan untuk momen spesial."
"prod_ribbed_knit_top","Ribbed Knit Top","349000","tops","Autumn,Winter","Size","S,M,L","Atasan rajut yang pas di badan."
"prod_ribbed_knit_top","Ribbed Knit Top","349000","tops","Autumn,Winter","Color","Beige,Brown","Atasan rajut yang pas di badan."
"prod_wide_leg_tailored_trousers","Wide Leg Tailored Trousers","649000","bottoms","Autumn,Winter","Size","M,L,XL","Celana potongan wide-leg klasik."
"prod_wide_leg_tailored_trousers","Wide Leg Tailored Trousers","649000","bottoms","Autumn,Winter","Color","Navy,Beige","Celana potongan wide-leg klasik."
"prod_pleated_midi_skirt","Pleated Midi Skirt","479000","bottoms","Spring","Size","S,M,L","Rok plisket midi bahan ringan."
"prod_pleated_midi_skirt","Pleated Midi Skirt","479000","bottoms","Spring","Color","Cream,Olive","Rok plisket midi bahan ringan."
"prod_high_waist_denim_pants","High-Waist Denim Pants","549000","bottoms","Summer,Autumn","Size","M,L,XL","Celana denim premium berpotongan tinggi."
"prod_high_waist_denim_pants","High-Waist Denim Pants","549000","bottoms","Summer,Autumn","Color","Navy,Grey","Celana denim premium berpotongan tinggi."
"prod_silk_slip_skirt","Silk Slip Skirt","599000","bottoms","Summer,Spring","Size","S,M,L","Rok satin elegan dan jatuh."
"prod_silk_slip_skirt","Silk Slip Skirt","599000","bottoms","Summer,Spring","Color","Maroon,White","Rok satin elegan dan jatuh."
"prod_formal_slim_pants","Formal Slim Pants","599000","bottoms","Winter,Autumn","Size","S,M,L,XL","Celana panjang formal berpotongan slim."
"prod_formal_slim_pants","Formal Slim Pants","599000","bottoms","Winter,Autumn","Color","Navy,Brown","Celana panjang formal berpotongan slim."
"prod_oversized_wool_blazer","Oversized Wool Blazer","1199000","outerwear","Winter,Autumn","Size","S,M,L","Blazer premium berbahan wool blend."
"prod_oversized_wool_blazer","Oversized Wool Blazer","1199000","outerwear","Winter,Autumn","Color","Grey,Brown","Blazer premium berbahan wool blend."
"prod_lightweight_cardigan","Lightweight Cardigan","459000","outerwear","Spring,Autumn","Size","One Size","Kardigan rajut yang ringan."
"prod_lightweight_cardigan","Lightweight Cardigan","459000","outerwear","Spring,Autumn","Color","Cream,Beige","Kardigan rajut yang ringan."
"prod_structured_vest","Structured Vest","599000","outerwear","Summer,Spring","Size","S,M,L","Rompi klasik dengan struktur tegas."
"prod_structured_vest","Structured Vest","599000","outerwear","Summer,Spring","Color","White,Grey","Rompi klasik dengan struktur tegas."
"prod_classic_trench_coat","Classic Trench Coat","1499000","outerwear","Autumn,Winter","Size","M,L,XL","Trench coat bergaya klasik."
"prod_classic_trench_coat","Classic Trench Coat","1499000","outerwear","Autumn,Winter","Color","Beige,Navy","Trench coat bergaya klasik."
"prod_cropped_tweed_jacket","Cropped Tweed Jacket","899000","outerwear","Spring,Winter","Size","S,M,L","Jaket tweed dengan model cropped."
"prod_cropped_tweed_jacket","Cropped Tweed Jacket","899000","outerwear","Spring,Winter","Color","White,Red","Jaket tweed dengan model cropped."
"prod_midi_evening_dress","Midi Evening Dress","999000","dresses","Winter,Spring","Size","S,M,L","Gaun malam midi yang elegan."
"prod_midi_evening_dress","Midi Evening Dress","999000","dresses","Winter,Spring","Color","Navy,Maroon","Gaun malam midi yang elegan."
"prod_wrap_dress_casual","Wrap Dress Casual","689000","dresses","Summer,Autumn","Size","M,L,XL","Gaun santai berpotongan wrap."
"prod_wrap_dress_casual","Wrap Dress Casual","689000","dresses","Summer,Autumn","Color","Olive,Beige","Gaun santai berpotongan wrap."
"prod_maxi_summer_dress","Maxi Summer Dress","759000","dresses","Summer","Size","S,M,L","Gaun panjang bahan flowy untuk musim panas."
"prod_maxi_summer_dress","Maxi Summer Dress","759000","dresses","Summer","Color","White,Cream","Gaun panjang bahan flowy untuk musim panas."
"prod_slip_silk_dress","Slip Silk Dress","899000","dresses","Spring,Summer","Size","S,M,L","Gaun satin minimalis dan mewah."
"prod_slip_silk_dress","Slip Silk Dress","899000","dresses","Spring,Summer","Color","Red,Grey","Gaun satin minimalis dan mewah."
"prod_long_sleeve_knitted_dress","Long Sleeve Knitted Dress","849000","dresses","Autumn,Winter","Size","M,L,XL","Gaun rajut lengan panjang yang hangat."
"prod_long_sleeve_knitted_dress","Long Sleeve Knitted Dress","849000","dresses","Autumn,Winter","Color","Brown,Navy","Gaun rajut lengan panjang yang hangat."
"prod_silk_scarf_deluxe","Silk Scarf Deluxe","299000","accessories","Spring,Winter","Size","One Size","Syal sutra premium."
"prod_silk_scarf_deluxe","Silk Scarf Deluxe","299000","accessories","Spring,Winter","Color","Maroon,Navy,White","Syal sutra premium."
"prod_leather_belt_heritage","Leather Belt Heritage","359000","accessories","Summer,Winter","Size","M,L","Ikat pinggang kulit sapi asli."
"prod_leather_belt_heritage","Leather Belt Heritage","359000","accessories","Summer,Winter","Color","Brown,Navy","Ikat pinggang kulit sapi asli."
"prod_gold_plated_necklace","Gold Plated Necklace","499000","accessories","Spring,Summer","Size","One Size","Kalung minimalis berlapis emas."
"prod_gold_plated_necklace","Gold Plated Necklace","499000","accessories","Spring,Summer","Color","Cream","Kalung minimalis berlapis emas."
"prod_statement_earrings","Statement Earrings","259000","accessories","Autumn,Winter","Size","One Size","Anting dengan desain mencolok."
"prod_statement_earrings","Statement Earrings","259000","accessories","Autumn,Winter","Color","White,Red","Anting dengan desain mencolok."
"prod_classic_sunglasses","Classic Sunglasses","599000","accessories","Summer","Size","One Size","Kacamata hitam berbingkai klasik."
"prod_classic_sunglasses","Classic Sunglasses","599000","accessories","Summer","Color","Brown,Grey","Kacamata hitam berbingkai klasik."
"prod_classic_leather_crossbody","Classic Leather Crossbody","899000","bags","Spring,Autumn,Summer,Winter","Size","One Size","Tas selempang kulit timeless."
"prod_classic_leather_crossbody","Classic Leather Crossbody","899000","bags","Spring,Autumn,Summer,Winter","Color","Olive,Red,Brown","Tas selempang kulit timeless."
"prod_tote_bag_premium","Tote Bag Premium","1199000","bags","Autumn,Spring","Size","One Size","Tas jinjing berkapasitas besar dan elegan."
"prod_tote_bag_premium","Tote Bag Premium","1199000","bags","Autumn,Spring","Color","Cream,Grey","Tas jinjing berkapasitas besar dan elegan."
"prod_quilted_shoulder_bag","Quilted Shoulder Bag","999000","bags","Winter,Spring","Size","One Size","Tas bahu bertekstur quilted."
"prod_quilted_shoulder_bag","Quilted Shoulder Bag","999000","bags","Winter,Spring","Color","Navy,White","Tas bahu bertekstur quilted."
"prod_mini_top_handle_bag","Mini Top Handle Bag","799000","bags","Summer,Autumn","Size","One Size","Tas tangan mini yang chic."
"prod_mini_top_handle_bag","Mini Top Handle Bag","799000","bags","Summer,Autumn","Color","Maroon,Olive","Tas tangan mini yang chic."
"prod_woven_straw_bag","Woven Straw Bag","699000","bags","Summer","Size","One Size","Tas anyaman cocok untuk ke pantai."
"prod_woven_straw_bag","Woven Straw Bag","699000","bags","Summer","Color","Beige,Brown","Tas anyaman cocok untuk ke pantai."
